,Locality,Lat,Lng,No_of_Restaurant,Cusines,Agg_Rating,Comments,No_of_Votes,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
86,Janakpuri,28.624631694565213,77.08840357499999,46,"North Indian, South Indian, Chinese, Street Food, Cafe, Biryani, North Indian, Chinese, Cafe, North Indian, Chinese, North Indian, Chinese, Pizza, Fast Food, North Indian, Chinese, North Indian, North Indian, South Indian, Street Food, Fast Food, Mithai, North Indian, Mughlai, Chinese, North Indian, Chinese, North Indian, Mughlai, Chinese, North Indian, South Indian, Chinese, Fast Food, Bakery, Fast Food, Bakery, Fast Food, North Indian, Chinese, Italian, Pizza, Bakery, American, Fast Food, Salad, Healthy Food, Bengali, North Indian, Cafe, Chinese, Mughlai, North Indian, Chinese, North Indian, Chinese, Continental, Fast Food, North Indian, Chinese, North Indian, Fast Food, Italian, Asian, Finger Food, North Indian, Chinese, Fast Food, Burger, Fast Food, Bakery, Chinese, North Indian, Thai, Ice Cream, Desserts, Bakery, American, Fast Food, Fast Food, Burger, Italian, Fast Food, North Indian, Mughlai, Fast Food, Street Food, North Indian, Chinese, Mughlai, Italian, Chinese, Fast Food, North Indian, North Indian, Fast Food, Chinese, North Indian, Chinese, Bakery, Fast Food, North Indian, Chinese, Continental",3.3152173913043472,"Average, Excellent, Good, Poor, Very Good",4011,0,Café,Gym,Park,Bakery,Women's Store,Food Court,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
88,Janpath,28.626321690624994,77.2194942078125,32,"Cafe, European, Cafe, Cafe, Cafe, North Indian, Chinese, North Indian, Chinese, Mughlai, North Indian, Chinese, Italian, Pizza, Fast Food, Street Food, North Indian, Finger Food, Kerala, South Indian, North Indian, North Indian, Continental, Modern Indian, Street Food, Modern Indian, North Indian, Cafe, Cafe, Desserts, Healthy Food, Juices, Fast Food, Italian, Mediterranean, North Indian, Spanish, Mediterranean, North Indian, Lebanese, European, Mexican, Fast Food, Burger, North Indian, Continental, Street Food, Finger Food, North Indian, North Indian, South Indian, Street Food, American, Italian, North Indian, European, Thai, North Indian, Italian, Continental, Asian, South Indian, North Indian, American, Chinese",3.5875000000000004,"Average, Excellent, Good, Very Good",9119,0,Indian Restaurant,Italian Restaurant,Coffee Shop,Bistro,Café,Fast Food Restaurant,Lounge,Hotel,Gastropub,Food Truck
89,Jasola,28.539002740000008,77.28927881999999,20,"Cafe, North Indian, Beverages, Fast Food, Beverages, Fast Food, Chinese, North Indian, Italian, Continental, Continental, Italian, Fast Food, Fast Food, North Indian, Mughlai, Italian, Pizza, Fast Food, Continental, North Indian, Chinese, Mughlai, Asian, American, Fast Food, Salad, Healthy Food, Japanese, North Indian, Fast Food, Continental, North Indian, Chinese, Cafe, Cafe, Italian, Mexican, Lebanese, Continental, Chinese, South Indian, North Indian, Chinese",3.1499999999999995,"Average, Good, Poor",893,0,Pizza Place,Soccer Field,Soccer Stadium,Breakfast Spot,Café,Food & Drink Shop,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
91,"Jaypee Vasant Continental, Vasant Vihar",28.556503470000003,77.16443762,5,"Chinese, North Indian, Bakery, European, Continental, North Indian, North Indian, Mughlai",3.4,"Average, Good",346,0,Café,Pizza Place,Restaurant,Coffee Shop,Fast Food Restaurant,Chinese Restaurant,Gourmet Shop,Movie Theater,Food & Drink Shop,Middle Eastern Restaurant
93,Kailash Colony,28.554083683333335,77.24071081666666,12,"Bakery, Desserts, Mithai, Street Food, North Indian, Raw Meats, Fast Food, North Indian, Mughlai, North Indian, Mughlai, North Indian, Chinese, Italian, North Indian, Italian, Chinese, Healthy Food, Salad, Italian, Continental, European, Cafe, Bakery, Desserts, Fast Food, Beverages, Continental, Chinese, Italian, Finger Food",3.5416666666666665,"Average, Good, Very Good",3781,0,Dessert Shop,Indian Restaurant,Light Rail Station,Hotel,Bar,Bakery,Flea Market,Electronics Store,Department Store,Restaurant
96,Kapashera,28.51631582,77.07868576999999,2,"North Indian, North Indian",3.2,Average,95,0,IT Services,Supermarket,Food Truck,Food Court,Women's Store,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
100,"Kasbah, Greater Kailash (GK) 1",28.556869,77.23292629999999,1,"North Indian, Mughlai",4.5,Excellent,524,0,Café,Indian Restaurant,Women's Store,Pool,Bakery,Chinese Restaurant,Clothing Store,Dim Sum Restaurant,Gym / Fitness Center,Lounge
102,Khan Market,28.600491897674416,77.2268862023256,43,"American, Fast Food, Bakery, Desserts, North Indian, Chinese, Mexican, Lebanese, Italian, Fast Food, Street Food, Bakery, Fast Food, Italian, Continental, European, Cafe, Italian, Continental, European, Cafe, Cafe, Pizza, Italian, Mughlai, American, Italian, North Indian, Chinese, Lebanese, Continental, Kashmiri, Italian, North Indian, Moroccan, Cafe, Italian, Lebanese, Chinese, Cafe, Desserts, Bakery, Bakery, Desserts, Fast Food, Mediterranean, American, Asian, Mughlai, North Indian, Mexican, Italian, European, American, Continental, Italian, Mughlai, Seafood, Chinese, Japanese, Vietnamese, Asian, Thai, European, Mughlai, Burmese, Chinese, Japanese, Malaysian, Thai, American, Fast Food, Salad, Healthy Food, Cafe, Tea, Desserts, Italian, French, European, Cafe, Cafe, Japanese, Thai, Italian, Asian, Chinese, Thai, Continental, North Indian, European, Continental, Pizza, Bakery, Desserts, Fast Food, Asian, Thai, Chinese, North Indian, Lebanese, Mexican, Asian, Italian, American, European, Continental, American, Cafe, European, Italian, European, Cafe, American, European, Parsi, Iranian, Bakery, Fast Food, Bakery, Desserts, Finger Food, Italian, North Indian",3.802325581395348,"Average, Excellent, Good, Very Good",28463,0,Café,Chinese Restaurant,Coffee Shop,Bar,Indian Restaurant,Asian Restaurant,Bookstore,Fast Food Restaurant,Sandwich Place,Restaurant
105,Lado Sarai,28.526489400000003,77.19472784999999,2,"Bakery, Fast Food, Continental, Italian, North Indian",3.3,"Average, Good",228,0,Shopping Mall,Golf Course,Furniture / Home Store,BBQ Joint,Nightclub,Gift Shop,Garden Center,Garden,Gaming Cafe,Frozen Yogurt Shop
108,Lajpat Nagar 4,28.563827250000003,77.24294005,2,"Tibetan, Chinese, North Indian, Street Food",3.8,"Good, Very Good",1092,0,Market,Indian Restaurant,Café,Indie Movie Theater,Hotel,Fast Food Restaurant,Coffee Shop,Restaurant,Movie Theater,Hotel Bar
109,Lawrence Road,28.689560821111115,77.15977111555554,9,"Fast Food, Fast Food, South Indian, Chinese, Mughlai, North Indian, Cafe, North Indian, Fast Food, Fast Food, Street Food, North Indian, Mughlai, Chinese, Italian, North Indian, Chinese, Fast Food, Fast Food, South Indian",3.3111111111111113,"Average, Very Good",903,0,Pharmacy,Shopping Mall,Department Store,Basketball Court,Light Rail Station,Food & Drink Shop,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
114,Lodhi Colony,28.584614897500007,77.22260080999997,28,"Chinese, North Indian, Mithai, Street Food, Asian, North Indian, Chinese, Mughlai, North Indian, Mithai, Street Food, Mithai, Street Food, Raw Meats, North Indian, Fast Food, North Indian, Chinese, Mughlai, Chinese, North Indian, North Indian, Mughlai, Chinese, Fast Food, Fast Food, Mithai, Street Food, Raw Meats, Fast Food, Italian, Pizza, Bakery, American, Fast Food, Salad, Healthy Food, Cafe, Ice Cream, Cafe, Desserts, Bakery, South Indian, Fast Food, American, Italian, Bakery, Deli, Burger, Sandwich, Pizza, American, Continental, Italian, Bakery, Desserts, Middle Eastern, Turkish, Mughlai, North Indian, North Indian, Mughlai, Chinese, Desserts, Bakery, Cafe, Japanese, Sushi, Asian, American, Fast Food",3.3035714285714275,"Average, Good, Poor, Very Good",6480,0,Indian Restaurant,Italian Restaurant,English Restaurant,Sandwich Place,Modern European Restaurant,Café,Restaurant,Shopping Mall,Asian Restaurant,Flea Market
115,Lodhi Road,28.588675273571432,77.22527204000001,14,"North Indian, South Indian, Chinese, Chinese, Street Food, Chinese, Thai, North Indian, Chinese, North Indian, North Indian, North Indian, Pizza, Fast Food, Asian, Chinese, Bakery, Desserts, Fast Food, North Indian, Mughlai, Mughlai, European, Lebanese, Mediterranean",3.2857142857142856,"Average, Good, Very Good",3311,0,Italian Restaurant,Temple,Japanese Restaurant,History Museum,Middle Eastern Restaurant,Food Court,Flea Market,Pedestrian Plaza,Performing Arts Venue,Diner
117,"MGF Metropolitan Mall, Saket",28.529662838,77.21998036400001,5,"North Indian, Chinese, Italian, Finger Food, North Indian, European, Chinese, Chinese, Thai, North Indian, Mughlai, Cafe, Beverages",3.6399999999999997,"Average, Good, Very Good",1945,0,Indian Restaurant,Clothing Store,Bar,Lounge,Café,Chinese Restaurant,Shopping Mall,Donut Shop,Multiplex,Asian Restaurant
120,"Maidens Hotel, Civil Lines",28.67370766666667,77.2257766,3,"Finger Food, European, North Indian, North Indian, Continental",3.133333333333333,Average,113,0,Italian Restaurant,Light Rail Station,Chinese Restaurant,Asian Restaurant,Hotel,Smoke Shop,Indian Restaurant,Eastern European Restaurant,Dog Run,Garden Center
121,Majnu ka Tila,28.70238125,77.228457975,4,"Chinese, North Indian, Cafe, Naga, Chinese, Tibetan, Chinese",3.1,Average,36,0,Asian Restaurant,Bus Station,Café,Tibetan Restaurant,Hotel,Coffee Shop,Restaurant,Food & Drink Shop,Garden,Gaming Cafe
122,Malviya Nagar,28.53580728261905,77.21204204511905,84,"North Indian, Mughlai, Burger, Fast Food, Cafe, Chinese, Cafe, Mexican, Italian, North Indian, Continental, Asian, Bakery, Desserts, Street Food, North Indian, Chinese, Thai, North Indian, Mughlai, North Indian, Chinese, Mughlai, North Indian, Chinese, Mughlai, North Indian, Chinese, Healthy Food, Mughlai, North Indian, South Indian, North Indian, Fast Food, Chinese, Chinese, Tibetan, Maharashtrian, Fast Food, North Indian, North Indian, Chinese, Bakery, Desserts, Fast Food, Fast Food, Beverages, North Indian, Chinese, Fast Food, Chinese, Italian, Pizza, Fast Food, North Indian, Chinese, Street Food, North Indian, Fast Food, North Indian, Chinese, Chinese, American, Fast Food, Salad, Healthy Food, Cafe, Italian, Mexican, Salad, Desserts, North Indian, Mughlai, Chinese, North Indian, Mughlai, Chinese, North Indian, Mughlai, Chinese, Street Food, Fast Food, Biryani, North Indian, Mughlai, Chinese, North Indian, Chinese, Mughlai, Biryani, Hyderabadi, Burger, American, Fast Food, Chinese, North Indian, Chinese, Burger, Desserts, Fast Food, North Indian, Chinese, South Indian, North Indian, Italian, Italian, Chinese, Continental, Thai, Mediterranean, Lebanese, Ice Cream, Desserts, Mithai, Street Food, Raw Meats, North Indian, Fast Food, Italian, North Indian, Chinese, Mughlai, Fast Food, North Indian, Mughlai, Chinese, Mithai, Street Food, North Indian, Mughlai, Chinese, Chinese, Thai, Chinese, Thai, Chinese, Tibetan, Japanese, Thai, Chinese, North Indian, Bakery, Fast Food, Mughlai, North Indian, Chinese, Thai, Japanese, Chinese, Thai, Continental, Asian, North Indian, Continental, North Indian, Chinese, Seafood, Chettinad, North Indian, Continental, Asian, Chinese, Thai, North Indian, Mughlai, North Indian, Biryani, Chinese, Fast Food, Healthy Food, Salad, Pizza, Fast Food, North Indian, Mughlai, Chinese, North Indian, South Indian, Chinese, Mughlai, North Indian, Mughlai, Chinese, Lucknowi, Mughlai, North Indian, Mughlai, Bihari, North Indian, Fast Food, Cafe, American, Italian, Cafe, Bakery, Parsi, Healthy Food, Salad, Cafe, Desserts, Sushi, Japanese, Healthy Food, Cafe, Fast Food, Healthy Food",3.417857142857143,"Average, Good, Poor, Very Good",12088,0,Coffee Shop,Indian Restaurant,Asian Restaurant,Sandwich Place,Café,Gym,Miscellaneous Shop,Chinese Restaurant,Italian Restaurant,Pizza Place
123,Mandi House,28.626790900000003,77.23208215,2,"Chinese, Chinese",3.25,Average,57,0,Theater,Indian Restaurant,Café,Bakery,Art Gallery,Light Rail Station,Concert Hall,Hotel Bar,Arcade,Food Truck
125,Mayapuri Phase 2,28.627714741666665,77.11785986666666,12,"North Indian, Raw Meats, North Indian, Fast Food, South Indian, Chinese, Biryani, Kerala, South Indian, Chinese, Mithai, Street Food, Pizza, Fast Food, Bakery, Fast Food, Chinese, North Indian, Mughlai, Chinese, North Indian, North Indian, Chinese",3.125,"Average, Good",171,0,Restaurant,Garden,Food Truck,Flea Market,Garden Center,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant
127,Mayur Vihar Phase 2,28.619410067307697,77.30067049307694,26,"Mithai, Street Food, Mithai, Bakery, Fast Food, North Indian, Chinese, Chinese, Chinese, Fast Food, North Indian, Fast Food, Street Food, Fast Food, North Indian, Biryani, South Indian, Fast Food, North Indian, Street Food, North Indian, South Indian, North Indian, Chinese, South Indian, Fast Food, North Indian, Chinese, North Indian, Fast Food, Street Food, Street Food, Street Food, Cafe, Street Food, Cafe, Chinese, Fast Food, North Indian, Chinese, Continental, Fast Food, Italian, Pizza, Bakery",3.1346153846153846,"Average, Good, Poor",1648,0,Wings Joint,Juice Bar,Ice Cream Shop,Sandwich Place,Café,Bank,Women's Store,Food Court,Garden Center,Garden
129,Mehrauli,28.523046625,77.1846546,4,"Raw Meats, North Indian, Fast Food, North Indian, South Indian, North Indian, North Indian, Chinese",2.9250000000000003,Average,26,0,Thai Restaurant,Bar,Italian Restaurant,Historic Site,Indian Restaurant,Lounge,Monument / Landmark,Food Truck,French Restaurant,Frozen Yogurt Shop
131,Model Town 1,28.7053075,77.19577170000001,1,"Chinese, Fast Food",3.8,Good,727,0,Playground,Pool Hall,Convenience Store,Light Rail Station,Food Truck,Flea Market,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
134,"Moments Mall, Kirti Nagar",28.656939034782607,77.14677455217392,23,"North Indian, Cafe, Ice Cream, Street Food, South Indian, Chinese, Burger, Fast Food, Chinese, Fast Food, Pizza, Desserts, South Indian, North Indian, Mughlai, North Indian, Mughlai, Beverages, American, Fast Food, North Indian, Street Food, American, Fast Food, Salad, Healthy Food, Tibetan, Chinese, Chinese, Thai, Burger, Desserts, Fast Food, Ice Cream, Desserts, Finger Food, North Indian, North Indian, Italian, Chinese, Cafe, Tea, Chinese, North Indian, Fast Food, Italian",3.2347826086956517,"Average, Good, Poor, Very Good",1477,0,Metro Station,Department Store,Fast Food Restaurant,Moving Target,Fried Chicken Joint,Sports Bar,Café,Shopping Mall,Flea Market,Asian Restaurant
135,Moti Bagh,28.579641138,77.172860832,5,"Mughlai, North Indian, Chinese, Chinese, Fast Food, North Indian, North Indian, Mughlai, Bakery, Desserts, Fast Food",3.18,"Average, Good",202,0,Pizza Place,South Indian Restaurant,Arcade,Café,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
137,Mukherjee Nagar,28.708864650869565,77.21366242608697,23,"Fast Food, Mithai, Bakery, Fast Food, North Indian, Chinese, Ice Cream, Desserts, Raw Meats, North Indian, Fast Food, Mughlai, North Indian, South Indian, Chinese, South Indian, Chinese, Street Food, South Indian, Chinese, Fast Food, Mithai, Fast Food, Fast Food, Beverages, North Indian, Chinese, North Indian, Chinese, North Indian, North Indian, Chinese, North Indian, Chinese, Chinese, Tibetan, North Indian, Mughlai",3.008695652173913,"Average, Good",187,0,Snack Place,Ice Cream Shop,Gym,Bakery,BBQ Joint,Food Court,Gastropub,Garden Center,Garden,Gaming Cafe
139,Najafgarh,28.6134511,76.98574620000001,1,North Indian,2.9,Average,4,0,Discount Store,Electronics Store,Rental Service,Food & Drink Shop,Women's Store,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
143,New Friends Colony,28.564494121874997,77.27236187843751,32,"North Indian, Continental, Chinese, Fast Food, North Indian, Mughlai, Bakery, Desserts, Fast Food, Fast Food, North Indian, North Indian, Mughlai, Chinese, North Indian, Fast Food, Chinese, Mithai, Bakery, Desserts, North Indian, Mughlai, Pizza, Fast Food, North Indian, South Indian, Chinese, Mithai, Mithai, Street Food, Raw Meats, North Indian, Fast Food, Pizza, Fast Food, Beverages, North Indian, Fast Food, Burger, North Indian, Chinese, Fast Food, North Indian, Mughlai, North Indian, Chinese, Biryani, North Indian, North Indian, Mughlai, South Indian, Chinese, Biryani, Mughlai, Bakery, Desserts, North Indian, Mughlai, Chinese, Kerala, Biryani, Cafe, Healthy Food, Continental, North Indian, Mughlai, Chinese, Italian, Pizza, Fast Food, Sushi, Asian, Bakery, Desserts, Chinese, Seafood, Asian",3.1406249999999996,"Average, Good, Very Good",1548,0,Café,Fast Food Restaurant,Hotel,Diner,Sandwich Place,Chinese Restaurant,Nightclub,Lounge,Italian Restaurant,Plaza
145,Okhla Phase 1,28.525674199999997,77.28352659999999,1,North Indian,3.3,Average,27,0,ATM,Cosmetics Shop,Print Shop,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint
147,PVR Anupam Complex,28.523307169999995,77.20730989384616,13,"Lebanese, Chinese, Pizza, Fast Food, North Indian, Mughlai, Chinese, North Indian, Mughlai, American, Fast Food, Salad, Healthy Food, Burger, Fast Food, Lebanese, Fast Food, Burger, Fast Food, Street Food, Italian, Continental, North Indian, Fast Food, North Indian, North Indian, Chinese, Mexican, Italian, Thai, Lebanese, Cafe, Italian",3.430769230769231,"Average, Good, Poor, Very Good",2412,0,Pizza Place,Multiplex,Electronics Store,Café,Lounge,Coffee Shop,Food & Drink Shop,Garden Center,Garden,Gaming Cafe
148,"Pacific Mall, Tagore Garden",28.64240242173913,77.10641123043479,23,"Chinese, Thai, North Indian, Street Food, South Indian, Fast Food, Chinese, Healthy Food, Juices, Cafe, Pizza, Pizza, Fast Food, South Indian, Burger, Desserts, Fast Food, Ice Cream, Desserts, Desserts, Ice Cream, Beverages, American, Fast Food, Desserts, Ice Cream, Fast Food, Chinese, North Indian, Mughlai, Cafe, Ice Cream, Desserts, Continental, North Indian, Italian, Italian, American, Fast Food, Salad, Healthy Food, Ice Cream, Beverages, Beverages",3.1956521739130435,"Average, Good",2177,0,Shopping Mall,Multiplex,Fast Food Restaurant,Donut Shop,Coffee Shop,Restaurant,Italian Restaurant,Indian Restaurant,Food Court,Clothing Store
150,Palam,28.592401225,77.08475477500001,12,"Chinese, Fast Food, Chinese, Fast Food, Pizza, North Indian, Mughlai, Chinese, North Indian, Mughlai, Street Food, Desserts, Pizza, Fast Food, Desserts, Street Food, North Indian, North Indian, North Indian, Mithai, Street Food",2.9,Average,74,0,Bar,Women's Store,Food & Drink Shop,Gastropub,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint
151,"Palate of Delhi, Chanakyapuri",28.5921535,77.1622219,2,"Burger, Fast Food, Cafe, Tea",3.2,Average,14,0,Golf Course,Bakery,Campground,Sake Bar,Gift Shop,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
152,Panchsheel Park,28.544463750000002,77.22439394999999,4,"Fast Food, North Indian, North Indian, Mughlai, Bakery, Chinese, Thai",3.5249999999999995,"Average, Very Good",231,0,Pizza Place,Gaming Cafe,Event Space,American Restaurant,Bar,Hobby Shop,Women's Store,Food Court,Garden Center,Garden
154,Pandav Nagar,28.61893465,77.28484725000001,2,"Street Food, South Indian, Chinese",2.9,Average,9,0,Dessert Shop,Bus Station,Convenience Store,Restaurant,Moving Target,Food & Drink Shop,Metro Station,Park,Furniture / Home Store,Frozen Yogurt Shop
159,Pragati Maidan,28.613748400000002,77.24123465,2,"Biryani, North Indian, South Indian, Bihari",3.9,"Average, Excellent",2313,0,Pool,Hockey Arena,Museum,Café,Art Museum,Historic Site,History Museum,Food,Gaming Cafe,Furniture / Home Store
164,Punjabi Bagh,28.668054939333338,77.12800913666665,60,"Street Food, Continental, Italian, Fast Food, Chinese, North Indian, North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Mithai, Bakery, Cafe, Pizza, Bakery, Desserts, Desserts, North Indian, Mughlai, North Indian, Japanese, Chinese, Pizza, Fast Food, Chinese, Chinese, Ice Cream, Desserts, North Indian, Chinese, Mughlai, North Indian, Mughlai, North Indian, Chinese, Bakery, North Indian, Mughlai, Chinese, Fast Food, North Indian, Continental, Italian, Thai, Chinese, North Indian, Mughlai, Chinese, Chinese, North Indian, Italian, North Indian, Mughlai, Chinese, Bakery, Fast Food, Raw Meats, Fast Food, South Indian, North Indian, Chinese, Chinese, Thai, American, Fast Food, Salad, Healthy Food, Bakery, Fast Food, North Indian, North Indian, Chinese, Continental, Fast Food, Chinese, North Indian, Continental, Italian, North Indian, Chinese, Mughlai, Fast Food, North Indian, Chinese, Fast Food, North Indian, North Indian, Chinese, Continental, North Indian, Mughlai, Lebanese, Arabian, North Indian, Mughlai, Chinese, Seafood, Cafe, Fast Food, Turkish, North Indian, Chinese, Italian, Continental, North Indian, Fast Food, Street Food, Street Food, Mithai, Desserts, Bakery, Desserts, Fast Food, Burger, North Indian, Mughlai, Chinese, Healthy Food, Continental, Juices, Salad, Fast Food, Beverages, Continental, Italian, North Indian, North Indian, Biryani, Chinese, Fast Food, North Indian, Finger Food, Italian, Chinese, Chinese, Bakery, Desserts, Bakery, Desserts, North Indian, Continental, Italian",3.393333333333333,"Average, Excellent, Good, Very Good",4670,0,Hookah Bar,Convenience Store,Café,Coffee Shop,Garden Center,Indian Restaurant,Donut Shop,Eastern European Restaurant,Food & Drink Shop,Garden
166,R K Puram,28.5690930125,77.17526868125,16,"North Indian, Mithai, Street Food, North Indian, Mughlai, Raw Meats, North Indian, Fast Food, North Indian, South Indian, Chinese, North Indian, North Indian, Chinese, North Indian, North Indian, Mughlai, Chinese, North Indian, Mughlai, North Indian, South Indian, Bakery, Fast Food, North Indian, Biryani, Chinese, Fast Food, North Indian, Mughlai, Chinese, South Indian",3.1750000000000007,"Average, Good, Poor, Very Good",2772,0,Asian Restaurant,Comfort Food Restaurant,Café,Restaurant,Thai Restaurant,Coffee Shop,Shopping Mall,Electronics Store,Event Space,Food Court
167,Race Course,28.599081599999998,77.2058916,1,Cafe,2.9,Average,9,0,Women's Store,Food,Gym / Fitness Center,Racetrack,History Museum,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint
171,Rajinder Nagar,28.639604205512814,77.18275407948717,78,"Chinese, Fast Food, North Indian, Mughlai, Chinese, North Indian, Mughlai, North Indian, Chinese, Mughlai, Ice Cream, Mithai, Street Food, Biryani, Cafe, Chinese, Fast Food, Street Food, North Indian, Chinese, North Indian, Beverages, Pizza, Fast Food, North Indian, Italian, Continental, Fast Food, Chinese, North Indian, Chinese, Chinese, North Indian, Chinese, Mughlai, Fast Food, North Indian, Chinese, Raw Meats, Fast Food, North Indian, Ice Cream, Desserts, Raw Meats, North Indian, Fast Food, Ice Cream, Desserts, Chinese, Fast Food, Biryani, North Indian, North Indian, Chinese, Bakery, North Indian, Fast Food, South Indian, Chinese, Chinese, North Indian, Chinese, Mughlai, Fast Food, Maharashtrian, North Indian, North Indian, North Indian, Mughlai, Chinese, Ice Cream, Desserts, Biryani, North Indian, North Indian, Street Food, Mithai, North Indian, Chinese, Fast Food, Raw Meats, North Indian, North Indian, Raw Meats, Fast Food, South Indian, North Indian, Chinese, Raw Meats, Fast Food, Mughlai, Fast Food, Mithai, Street Food, North Indian, Chinese, Fast Food, South Indian, American, Fast Food, Salad, Healthy Food, North Indian, Chinese, North Indian, North Indian, Mughlai, North Indian, Chinese, Cafe, Fast Food, Pizza, Mughlai, North Indian, Chinese, Fast Food, South Indian, Chinese, Fast Food, Burger, Fast Food, Desserts, Ice Cream, Burger, Fast Food, Fast Food, North Indian, Italian, Chinese, North Indian, North Indian, Cafe, South Indian, North Indian, Bakery, Continental, Healthy Food, Cafe, Italian, Chinese, Mughlai, North Indian, Mithai, Street Food, North Indian, South Indian, Chinese, Bakery, Fast Food, Bakery, Fast Food, North Indian, Mughlai, Chinese",3.056410256410255,"Average, Good, Poor, Very Good",5168,0,Market,Food & Drink Shop,Music Store,Sandwich Place,Gym / Fitness Center,Café,Pizza Place,Electronics Store,English Restaurant,Gaming Cafe
172,Rajouri Garden,28.644280892164932,77.1195628454639,97,"Mughlai, North Indian, North Indian, North Indian, Mughlai, Mithai, Continental, North Indian, Chinese, Cafe, Cafe, Bakery, Fast Food, North Indian, Chinese, Mughlai, North Indian, Chinese, North Indian, Chinese, North Indian, Mughlai, North Indian, North Indian, Chinese, Continental, North Indian, Mughlai, North Indian, Chinese, North Indian, Chinese, Raw Meats, North Indian, Fast Food, Ice Cream, North Indian, Chinese, Mughlai, North Indian, Mughlai, Chinese, North Indian, South Indian, Chinese, North Indian, Mughlai, Bakery, Fast Food, North Indian, Biryani, Fast Food, Chinese, North Indian, Chinese, Ice Cream, Desserts, South Indian, Bakery, Desserts, Fast Food, Street Food, Chinese, Beverages, American, Fast Food, Salad, Healthy Food, North Indian, Chinese, Fast Food, North Indian, Chinese, North Indian, North Indian, Ice Cream, Thai, European, Mexican, North Indian, Chinese, Cafe, American, Asian, European, Seafood, Bakery, Desserts, Fast Food, Street Food, Bakery, Fast Food, Chinese, Thai, North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai, Desserts, Ice Cream, North Indian, Mexican, Chinese, Italian, North Indian, Fast Food, Italian, Chinese, Cafe, Continental, North Indian, Chinese, Continental, North Indian, Chinese, North Indian, Pizza, Fast Food, North Indian, Bakery, Fast Food, Ice Cream, Desserts, Italian, North Indian, Continental, Middle Eastern, Mediterranean, North Indian, North Indian, Continental, Chinese, Italian, Continental, Continental, North Indian, Chinese, Italian, Finger Food, Continental, Chinese, Thai, Mughlai, North Indian, European, Chinese, North Indian, Italian, Fast Food, Burger, Bakery, Healthy Food, Italian, Juices, Beverages, Bakery, Desserts, Fast Food, North Indian, Mughlai, Beverages, Desserts, North Indian, Chinese, North Indian, Mughlai, Lebanese, Burger, Fast Food, North Indian, Mediterranean, Asian, Cafe, Continental, Italian, North Indian, Chinese, North Indian, Street Food, Continental, Fast Food, North Indian, Asian, North Indian, Chinese, Bakery, Desserts, Fast Food, Chinese, Thai, Continental, North Indian, Chinese, Continental, Italian, American, Cafe, Asian, Italian, North Indian, Continental, Italian, North Indian, Chinese, North Indian, Mangalorean, Chinese, North Indian, Chinese, Continental, Continental, North Indian, Chinese, Mughlai, Asian, Ice Cream, Desserts, Beverages, North Indian, Mughlai, Chinese, North Indian, Continental, North Indian, Fast Food, Italian, Asian, Kashmiri, North Indian, Mughlai, South Indian, Maharashtrian, Gujarati, North Indian, Continental, Mughlai, Asian, North Indian, Street Food, Continental, North Indian, Chinese, Asian, Continental, North Indian, Chinese, Continental, Healthy Food, North Indian, Italian, Chinese, Continental, Italian, Mediterranean, Asian, Continental, Modern Indian, Asian",3.62680412371134,"Average, Excellent, Good, Poor, Very Good",25637,0,Café,Dessert Shop,Market,Pub,Fast Food Restaurant,Bike Shop,Bakery,BBQ Joint,Diner,Ice Cream Shop
175,SDA,28.546931200000003,77.19704726153846,13,"Mithai, Street Food, Bakery, Desserts, Bakery, Desserts, Cafe, Chinese, Continental, Italian, Mexican, North Indian, Continental, North Indian, Chinese, Mughlai, Cafe, Beverages, North Indian, Bakery, Desserts",3.223076923076923,"Average, Good",606,0,Café,Coffee Shop,Italian Restaurant,Fast Food Restaurant,Sandwich Place,Beer Garden,Chinese Restaurant,Tea Room,Asian Restaurant,Market
