,Locality,Lat,Lng,No_of_Restaurant,Cusines,Agg_Rating,Comments,No_of_Votes,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
170,Rajendra Place,28.643756825000004,77.17750240000001,4,"Fast Food, Burger, Mughlai, North Indian, Chinese, Street Food, North Indian, Chinese, Continental, Italian, North Indian, Chinese, Mughlai",3.575,"Average, Good",2879,4,Fast Food Restaurant,Pizza Place,Chinese Restaurant,Light Rail Station,Coffee Shop,Hotel,Bar,Food Court,Food Truck,Women's Store
173,Rohini,28.71417591854166,77.11945972125001,48,"Fast Food, North Indian, Fast Food, North Indian, Chinese, South Indian, Ice Cream, Street Food, Bakery, Chinese, Fast Food, North Indian, Chinese, South Indian, Street Food, Fast Food, Mithai, Chinese, Fast Food, North Indian, Mughlai, North Indian, Chinese, Raw Meats, Pizza, Fast Food, North Indian, American, Fast Food, Bakery, Fast Food, Fast Food, Burger, North Indian, Chinese, South Indian, North Indian, Chinese, Fast Food, North Indian, Mughlai, Bakery, Chinese, Fast Food, North Indian, South Indian, Fast Food, North Indian, Chinese, Raw Meats, Fast Food, North Indian, Chinese, North Indian, Mughlai, American, Fast Food, Salad, Healthy Food, Fast Food, Italian, Biryani, South Indian, Street Food, Mithai, Fast Food, Pizza, Fast Food, Bakery, Chinese, Street Food, South Indian, North Indian, Mughlai, Beverages, Fast Food, Burger, North Indian, Mughlai, Chinese, Fast Food, North Indian, Chinese, North Indian, North Indian, Street Food, South Indian, Chinese, Bakery, Desserts, Fast Food, North Indian, North Indian, Chinese, Fast Food, North Indian, Chinese, North Indian, South Indian, Chinese, North Indian, Continental, European, American, Mediterranean, North Indian",3.352083333333333,"Average, Good, Poor, Very Good",4514,4,Multiplex,Indian Restaurant,Department Store,Light Rail Station,Gym,Fast Food Restaurant,Women's Store,Food & Drink Shop,Garden,Gaming Cafe
181,Sarojini Nagar,28.5718488,77.19443993333333,6,"North Indian, Mithai, Street Food, Fast Food, Street Food, Chinese, South Indian, Street Food, Street Food",3.316666666666667,"Average, Good",472,4,Fast Food Restaurant,Pizza Place,Indian Restaurant,Snack Place,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
188,Shalimar Bagh,28.70768467272726,77.16159986818182,44,"South Indian, Chinese, Chinese, Fast Food, North Indian, North Indian, Mithai, Ice Cream, North Indian, Chinese, Fast Food, Mithai, Mithai, Street Food, North Indian, Chinese, Mithai, Street Food, Chinese, Pizza, Fast Food, Bakery, Ice Cream, Desserts, Fast Food, Beverages, North Indian, South Indian, Chinese, North Indian, North Indian, Street Food, Chinese, Fast Food, North Indian, North Indian, North Indian, South Indian, Chinese, Chinese, Fast Food, Fast Food, North Indian, Chinese, North Indian, Chinese, North Indian, Chinese, Bakery, Desserts, Chinese, Fast Food, North Indian, Chinese, Chinese, Fast Food, Beverages, American, Fast Food, Salad, Healthy Food, Fast Food, North Indian, North Indian, Chinese, North Indian, Chinese, Bakery, Desserts, Fast Food, Burger, Street Food, North Indian, North Indian, Mughlai, Chinese, Fast Food, Desserts, Ice Cream, Bakery, Chinese, Fast Food",3.1681818181818175,"Average, Good, Very Good",1668,4,Pizza Place,Convenience Store,Gym / Fitness Center,Hotel,Coffee Shop,Bakery,Women's Store,Food & Drink Shop,Garden,Gaming Cafe
193,South Extension 1,28.5699829,77.22078776666666,9,"Pizza, Fast Food, North Indian, Fast Food, Burger, Continental, North Indian, Italian, Bakery, Fast Food, American, Fast Food, Salad, Healthy Food, Street Food, Beverages, North Indian, Italian, Fast Food, Chinese, Fast Food, North Indian",3.1333333333333333,"Average, Good, Poor",988,4,Coffee Shop,Indian Restaurant,Pizza Place,Clothing Store,Fast Food Restaurant,Market,Chinese Restaurant,Food,Garden,Gaming Cafe
194,South Extension 2,28.5667168453125,77.21977631625,32,"North Indian, Mithai, Fast Food, Cafe, Bakery, Fast Food, Fast Food, Chinese, Cafe, Pizza, Fast Food, North Indian, Chinese, Chinese, Fast Food, Chinese, North Indian, Chinese, North Indian, Chinese, Chinese, North Indian, Raw Meats, Fast Food, Beverages, Chinese, Chinese, North Indian, Bakery, Desserts, Bakery, Fast Food, Ice Cream, Chinese, Cafe, Chinese, Japanese, North Indian, North Indian, Chinese, Mughlai, Fast Food, Burger, North Indian, Mughlai, Chinese, North Indian, Mughlai, North Indian, Chinese, Italian, Cafe, Italian",3.3031249999999988,"Average, Good, Very Good",2411,4,Coffee Shop,Pizza Place,Indian Restaurant,Clothing Store,Market,Fast Food Restaurant,Sporting Goods Shop,Chinese Restaurant,Gastropub,Department Store
196,"Spark Mall, Kamla Nagar",28.680905484,77.20383251999999,5,"Pizza, North Indian, Desserts, Cafe, Chinese",3.3200000000000003,"Average, Good",286,4,Fast Food Restaurant,Breakfast Spot,Dessert Shop,Indian Restaurant,Donut Shop,Pizza Place,Coffee Shop,Chinese Restaurant,Bank,Dumpling Restaurant
219,Tilak Nagar,28.638846305925924,77.0961567788889,27,"Mithai, Street Food, Street Food, Desserts, North Indian, Mughlai, North Indian, North Indian, Street Food, Fast Food, Chinese, Fast Food, Fast Food, Bakery, North Indian, Fast Food, Afghani, Fast Food, Raw Meats, North Indian, Fast Food, Raw Meats, North Indian, Fast Food, North Indian, North Indian, Fast Food, Burger, Fast Food, North Indian, Street Food, North Indian, Beverages, Ice Cream, Street Food, South Indian, Chinese, South Indian, Chinese, North Indian, Mughlai, Street Food, North Indian, Fast Food, Mughlai",3.0481481481481487,"Average, Good",290,4,Fast Food Restaurant,Metro Station,Indian Restaurant,Women's Store,Gastropub,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
221,Uday Park,28.560593469999997,77.21808057333334,3,"Kashmiri, Chinese, Fast Food, North Indian, Cafe",3.733333333333333,"Average, Good, Very Good",615,4,Pizza Place,Park,Music Venue,Café,Fast Food Restaurant,Metro Station,Market,Food & Drink Shop,Garden,Gaming Cafe
222,"Unity One Mall, Janakpuri",28.62898818,77.07637224000001,5,"Tibetan, Chinese, Pizza, Fast Food, Mithai, North Indian, South Indian, Beverages, American",3.2600000000000002,"Average, Good, Poor",239,4,Pizza Place,Gym / Fitness Center,Chinese Restaurant,Coffee Shop,Fast Food Restaurant,Sandwich Place,Indian Restaurant,Metro Station,Fried Chicken Joint,French Restaurant
